(PDH-CSV 4.0) (Pacific Daylight Time)(420),\\DESKTOP-69VA935\Process(RansomDetectorService)\% Processor Time,\\DESKTOP-69VA935\Process(RansomDetectorService)\Working Set
03:37.1, ,27004928
03:42.2,63.86450216,26198016
03:47.2,62.4964952,25505792
03:52.2,53.43885842,30265344
03:57.2,71.55913958,27222016
04:02.4,72.84131213,26324992
04:07.1,82.23510391,26705920
04:12.1,72.80716906,26935296
04:17.1,78.7486723,26939392
04:22.2,81.62161712,27402240
04:27.2,43.43876581,27406336
04:32.2,17.50050471,27447296
04:37.2,6.874874465,27447296
04:42.2,7.812376877,27447296
04:47.2,45.6223466,27467776
04:52.2,14.68793917,27467776
04:57.2,4.062569145,27467776
05:02.2,4.687453969,27467776
05:07.2,8.124682325,27467776
05:12.2,47.50521227,27475968
05:17.2,44.99849615,27475968
05:22.2,24.37349859,27475968
05:27.2,3.750083402,27475968
05:32.2,9.062346303,27475968
05:37.2,6.250216007,27475968
05:42.2,1.250049702,27475968
05:47.2,0.937487306,27475968
05:52.2,1.562477844,27475968
05:57.2,24.68780909,27475968
06:02.2,21.87480925,27475968
06:07.2,3.124983,27475968
06:12.2,4.687451157,27475968
06:17.2,2.187508356,27475968
06:22.2,4.062569551,27475968
06:27.2,1.562474407,27475968
06:32.2,3.437511963,27475968
06:37.2,35.31268645,27475968
06:42.2,32.18802853,27475968
06:47.2,14.9999736,27475968
06:52.2,2.812522894,27475968
06:57.2,19.06225448,27475968
07:02.2,15.93775086,27475968
07:07.2,3.437197733,27475968
07:12.2,0.937569005,27475968
07:17.2,0.937521563,27475968
07:22.2,2.499911203,27475968
07:27.2,30.3136689,27475968
07:32.2,21.24803413,27475968
07:37.2,3.125273836,27488256
07:42.2,2.499798666,27488256
07:47.2,3.437681303,27488256
07:52.2,2.499903454,27504640
07:57.2,2.499848159,27508736
08:02.2,3.437855818,27508736
08:07.2,2.500113855,27508736
08:12.2,7.812241102,27508736
08:17.2,19.9985749,27508736
08:22.2,16.56311714,27508736
08:27.2,22.81216649,27508736
08:32.2,34.99910962,27561984
08:37.2,10.00045602,27561984
08:42.2,21.87413772,27561984
08:47.2,25.62682258,27561984
08:52.2,46.55941684,27561984
08:57.2,26.5634871,27561984
09:02.2,46.24864029,27561984
09:07.2,28.12481944,27561984
09:12.2,24.68727584,27561984
09:17.2,4.375206422,27561984
09:22.2,13.43727613,27561984
09:27.2,2.500124456,27561984
09:32.2,19.06195864,27619328
09:37.2,27.18797307,27619328
09:42.2,17.18789395,27619328
09:47.2,6.249827505,27619328
09:52.2,1.249986025,27619328
09:57.2,0.937527282,27619328
10:02.2,1.249922605,27619328
10:07.2,0.937485094,27619328
10:12.2,0,27566080
10:17.2,1.25000465,27566080
10:22.2,1.25001345,27566080
10:27.2,1.249948902,27566080
10:32.2,1.250124762,27566080
10:37.2,1.249950277,27566080
10:42.2,1.250047902,27566080
10:47.2,0.937450503,27566080
10:52.2,0,27566080
10:57.2,1.562530094,27566080
11:02.2,1.562465595,27566080
11:07.2,4.062567195,27566080
11:12.2,0.937441485,27566080
11:17.2,12.50047327,27566080
11:22.2,18.43665155,27566080
11:27.2,1.250097908,27566080
11:32.2,1.249938903,27566080
11:37.2,3.12491919,27566080
11:42.2,17.5012944,27566080
11:47.2,35.93505857,27566080
11:52.2,36.87505753,27566080
11:57.2,1.2500192,27463680
12:02.2,1.2499819,27463680
12:07.2,0.937478794,27463680
12:12.2,5.000435138,27463680
12:17.2,42.18794719,27463680
12:22.2,17.81104519,27467776
12:27.2,1.250112485,27467776
12:32.2,1.249967326,27467776
12:37.2,1.250017625,27467776
12:42.2,0,27467776
12:47.2,1.249999725,27467776
12:52.2,1.250060928,27467776
12:57.2,0.93755224,27467776
13:02.2,1.249934803,27467776
13:07.2,1.250068779,27467776
13:12.2,1.249867339,27467776
13:17.2,0,27467776
13:22.2,1.250091932,27467776
13:27.2,0.93744934,27467776
13:32.2,1.249994,27492352
13:37.2,1.250074429,27492352
13:42.2,0.937451496,27492352
13:47.2,0.937506769,27492352
13:52.2,1.249958376,27492352
13:57.2,0,27492352
14:02.2,1.24999305,27492352
14:07.2,0.937513575,27492352
14:12.2,0.937503675,27492352
14:17.2,5.937480881,27492352
14:22.2,37.5000795,27488256
14:27.2,35.62384721,27516928
14:32.2,44.06167164,27529216
14:37.2,5.937779076,27529216
14:42.2,4.687360129,27504640
14:47.2,20.93840203,27504640
14:52.2,29.06300512,27500544
14:57.2,19.0612492,27500544
15:02.2,17.81316621,27500544
15:07.2,27.81249778,27500544
15:12.2,50.31170306,27504640
15:17.2,34.37638537,27504640
15:22.2,16.87356777,27504640
15:27.2,8.750190404,27504640
15:32.2,2.500037801,27504640
15:37.2,0.937556272,27504640
15:42.2,31.87254135,27508736
15:47.2,7.812615314,27693056
15:52.2,10.93765269,27693056
15:57.2,25.31125216,27693056
16:02.2,4.062555169,27693056
16:07.2,2.499956501,27693056
16:12.2,3.125072877,27693056
16:17.2,1.875082579,27693056
16:22.2,2.187425803,27693056
16:27.2,3.437609247,27693056
16:32.2,2.49998405,27693056
16:37.2,3.437382923,27693056
16:42.2,4.999900502,27693056
16:47.2,38.75214919,27693056
16:52.2,10.00038401,27693056
16:57.2,27.8101506,27697152
17:02.2,29.3744037,27697152
17:07.2,35.94034719,27693056
17:12.2,30.62415906,27693056
17:17.2,9.375192754,27693056
17:22.2,10.93689978,27697152
17:27.2,2.187616862,27697152
17:32.2,5.312620171,27697152
17:37.2,3.749719146,27697152
17:42.2,2.187523144,27697152
17:47.2,47.81432173,27697152
17:52.2,67.18721378,27697152
17:57.2,27.18590962,27697152
18:02.2,20.93795393,27697152
18:07.2,59.06420341,27697152
18:12.2,50.93782091,27697152
18:17.2,44.68732125,27697152
18:22.2,34.99909912,27697152
18:27.2,37.18929104,27701248
18:32.2,24.37524473,25018368
18:37.2,6.562303656,25018368
18:42.2,41.56227723,25022464
18:47.2,29.06191411,25026560
18:52.2,35.93700838,25038848
18:57.2,2.187598486,25038848
19:02.2,6.874894264,25038848
19:07.2,1.250060803,25038848
19:12.2,3.437331502,25038848
19:17.2,3.437556238,25038848
19:22.2,35.62461953,25038848
19:27.2,2.499847359,25055232
19:32.2,3.437874385,25055232
19:37.2,1.249894209,25055232
19:42.2,3.750131705,25055232
19:47.2,2.499885655,25055232
19:52.2,2.500192365,25055232
19:57.2,2.499995,25055232
20:02.2,5.312264773,25055232
20:07.2,5.937285783,25055232
20:12.2,54.37594614,25055232
20:17.2,46.25042735,25145344
20:22.2,39.68742618,25145344
20:27.2,6.25018338,25145344
20:32.2,6.562318224,25153536
20:37.2,2.812468669,25153536
20:42.2,24.37586339,25255936
20:47.2,14.37420022,25255936
20:52.2,10.00074806,25255936
20:57.2,65.9330838,25260032
21:02.2,71.24990738,25341952
21:07.2,14.37611357,25341952
21:12.2,6.2499495,25341952
21:17.2,44.37439118,25403392
21:22.2,56.24581419,25419776
21:27.2,58.44030747,25415680
21:32.2,63.74960858,25415680
21:37.2,63.44235715,25419776
21:42.1,41.68741049,25567232
21:47.2,63.86631545,25567232
21:52.2,59.69003683,25571328
21:57.2,44.99695821,25571328
22:02.2,59.37795465,25571328
22:07.2,17.18649322,25571328
22:12.2,4.687495688,25571328
22:17.2,31.25116442,25571328
22:22.2,23.43830018,25583616
22:27.2,57.1875915,25583616
22:32.2,26.8731694,25583616
22:37.2,11.25042279,25583616
22:42.2,9.375242069,25583616
22:47.2,10.62519742,25776128
22:52.2,2.187346317,25776128
22:57.2,1.250092132,25776128
23:02.2,28.43845781,25776128
23:07.2,4.687294696,25776128
23:12.2,16.87560043,25776128
23:17.2,48.43386455,25776128
23:22.2,51.25194757,25780224
23:27.2,40.62183962,25780224
23:32.2,25.6271086,25780224
23:37.2,3.749783712,25780224
23:42.2,1.249136147,25780224
23:47.2,5.629141021,25780224
23:52.2,19.06157018,25780224
23:57.2,39.74522753,25788416
24:02.2,33.02376558,25808896
24:07.2,36.87645883,25870336
24:12.2,32.81488236,25878528
24:17.2,29.68587084,25878528
24:22.2,15.31241425,25894912
24:27.2,4.687570782,25899008
24:32.2,20.31213032,25907200
24:37.2,31.56238133,25972736
24:42.2,9.062995202,25972736
24:47.2,5.312415851,25972736
24:52.2,26.56318905,25976832
24:57.2,41.87280252,25976832
25:02.2,28.12428789,25976832
25:07.2,12.18711854,25976832
25:12.2,6.250233009,25976832
25:17.2,3.437470781,26046464
25:22.2,36.2510259,26583040
25:27.2,8.12519208,26583040
25:32.2,19.99952001,26583040
25:37.2,31.24828447,26583040
25:42.2,57.49872353,26603520
25:47.2,30.00168009,26603520
25:52.2,19.06335938,26603520
25:57.2,2.812260058,26603520
26:02.2,5.937609846,26603520
26:07.2,44.68744816,26607616
26:12.2,22.81280067,26607616
26:17.2,4.374968763,26607616
26:22.2,4.062833721,26607616
26:27.2,5.624788958,26607616
26:32.2,35.0000182,26607616
26:37.2,27.49901004,26607616
26:42.2,35.62418492,26607616
26:47.2,28.12523456,26607616
26:52.2,37.81363517,26607616
26:57.2,5.625069188,26607616
27:02.2,5.93721537,26607616
27:07.2,5.624812356,26607616
27:12.2,5.625146929,26607616
27:17.2,63.89458355,26673152
27:22.2,67.40432338,26804224
27:27.2,20.31134266,26804224
27:32.2,4.68766735,26824704
27:37.2,10.31253692,26824704
27:42.2,10.93653999,26824704
27:47.2,45.31668726,26824704
27:52.2,9.374977313,26824704
27:57.2,4.687113219,26824704
28:02.2,10.00035141,26824704
28:07.2,6.562798476,26845184
28:12.2,8.436994961,26845184
28:17.2,8.750607992,26845184
28:22.2,29.37488544,26853376
28:27.2,18.12402529,26853376
28:32.2,42.50013175,26857472
28:37.2,33.43786314,26857472
28:42.2,7.812754852,26857472
28:47.2,0.9375072,26857472
28:52.2,7.81230813,26857472
28:57.2,53.12728766,26890240
29:02.2,11.87453238,26890240
29:07.2,8.750188829,26890240
29:12.2,42.80897254,27729920
29:17.2,75.31470973,27729920
29:22.2,41.87748669,27729920
29:27.2,2.499825612,27729920
29:32.2,1.250048202,27729920
29:37.2,0.937516838,27729920
29:42.2,7.187249452,27738112
29:47.2,56.56278055,27738112
29:52.2,50.93986667,27734016
29:57.2,33.7500837,27750400
30:02.2,70.62200421,27750400
30:07.2,19.06381464,27750400
30:12.3,25.30453934,27750400
30:17.2,45.18930341,27750400
30:22.2,9.062527188,27750400
30:27.2,8.437318766,27750400
30:32.2,2.499769321,27750400
30:37.2,44.69142569,27750400
30:42.2,42.81182015,27750400
30:47.2,34.68912414,27750400
30:52.2,47.81388852,27750400
30:57.2,15.0002715,27746304
31:02.2,37.18769784,27746304
31:07.2,43.1230172,27746304
31:12.2,25.31282299,27746304
31:17.2,19.06206691,27746304
31:22.2,54.06122416,27750400
31:27.2,23.74990168,27754496
31:32.2,46.25369937,27897856
31:37.2,55.93379606,28098560
31:42.2,26.87663948,28098560
31:47.2,30.93524111,28098560
31:52.2,2.187524675,28098560
31:57.2,13.12585633,28106752
32:02.2,52.49708116,28106752
32:07.2,33.12654171,28106752
32:12.2,36.87441001,28180480
32:17.2,62.18528993,28180480
32:22.2,45.0029801,28180480
32:27.2,19.06244434,28246016
32:32.2,2.187481713,28246016
32:37.2,14.06163521,28246016
32:42.2,37.81195324,28246016
32:47.2,8.12572774,28246016
32:52.2,9.686758575,28246016
32:57.2,65.63082277,28413952
33:02.2,36.8711101,28446720
33:07.2,28.44069048,28516352
33:12.2,5.311977301,28516352
33:17.2,1.250044077,28516352
33:22.2,7.499867102,28516352
33:27.2,44.37574906,28516352
33:32.2,12.81249231,25899008
33:37.2,19.68677001,25899008
33:42.2,39.06264453,25907200
33:47.2,52.81227502,25923584
33:52.2,41.87869538,25923584
33:57.2,69.68235326,25939968
34:02.2,48.43906749,26030080
34:07.2,66.56211128,26030080
34:12.2,15.31303167,26030080
34:17.2,22.812328,26030080
34:22.2,11.56254394,26030080
34:27.2,45.93398881,26148864
34:32.2,5.312836728,26148864
34:37.2,25.31174672,26148864
34:42.2,40.93616139,26148864
34:47.2,37.50211587,26148864
34:52.2,42.18524225,26267648
34:57.2,35.93704072,26279936
35:02.2,41.56398051,26292224
35:07.2,27.50055441,26292224
35:12.2,52.50110987,26300416
35:17.2,56.87384546,26370048
35:22.2,14.0630614,26370048
35:27.2,5.624448579,26370048
35:32.2,73.43761016,26447872
35:37.2,45.62592621,26480640
35:42.2,39.37534257,26480640
35:47.2,36.56366126,26480640
35:52.2,57.18543217,26513408
35:57.2,10.62532896,26529792
36:02.2,28.12417934,26615808
36:07.2,23.75035103,26615808
36:12.2,56.25037238,26615808
36:17.2,41.25053956,26615808
36:22.2,21.24929792,26685440
36:27.2,10.62550365,26685440
36:32.2,2.187464563,26685440
36:37.2,1.25000345,26685440
36:42.2,36.56267696,26730496
36:47.2,9.687438582,26730496
36:52.2,8.749504078,26730496
36:57.2,6.562723133,26853376
37:02.2,32.4998778,26853376
37:07.2,49.999895,26849280
37:12.2,45.94007356,26849280
37:17.2,26.8739761,26853376
37:22.2,1.874915854,26853376
37:27.2,26.87669054,26853376
37:32.2,28.74951701,26853376
37:37.2,37.18640821,26853376
37:42.2,25.93765303,26853376
37:47.1,42.54683045,26853376
37:52.1,28.82788545,26857472
37:57.1,2.499805465,26857472
38:02.1,1.869263865,26857472
38:07.1,26.56346532,26857472
38:12.1,29.37529669,26857472
38:17.1,47.4999734,26857472
38:22.1,57.18626706,26906624
38:27.1,27.18627281,26906624
38:32.1,2.187548082,26906624
38:37.1,23.74950269,26906624
38:42.1,55.62849681,26906624
38:47.1,11.87481095,26906624
38:52.1,13.43712215,27164672
38:57.1,54.68927631,27172864
39:02.1,52.49844395,27172864
39:07.1,7.18723551,27172864
39:12.1,12.49992925,27172864
39:17.2,18.75017513,27172864
39:22.1,2.187610956,27172864
39:27.1,5.937590726,27172864
39:32.1,45.30903386,27176960
39:37.1,38.75265611,27176960
39:42.1,50.00060201,27176960
39:47.1,41.55884615,27176960
39:52.2,68.71200987,27176960
39:57.1,56.69089541,27176960
40:02.1,82.81433185,27176960
40:07.1,22.81302607,27181056
40:12.1,40.6226447,27181056
40:17.1,2.499915053,27181056
40:22.2,12.38416643,27193344
40:27.1,63.72352705,27193344
40:32.1,29.37421101,27193344
40:37.1,42.81413893,27193344
40:42.1,41.25089597,27193344
40:47.1,29.06004675,27193344
40:52.1,32.81476094,27193344
40:57.1,30.31283223,27193344
41:02.1,12.18675734,27193344
41:07.1,4.374923789,27193344
41:12.2,4.373861221,27193344
41:17.1,4.688954607,27193344
41:22.1,3.749775238,27193344
41:27.1,4.375163981,27193344
41:32.1,30.938232,27254784
41:37.1,32.81226769,28090368
41:42.1,69.37611141,28090368
41:47.1,14.68665787,28090368
41:52.1,5.625130728,28090368
41:57.1,30.31168643,28090368
42:02.1,32.18924401,28090368
42:07.1,4.68722261,28090368
42:12.1,5.000234711,28090368
42:17.1,5.312505419,28090368
42:22.1,4.700110113,28090368
42:27.1,24.30957128,28090368
42:32.1,40.62454257,28086272
42:37.1,60.6234929,28086272
42:42.1,28.4395704,28086272
42:47.1,10.31274895,28086272
