(PDH-CSV 4.0) (Pacific Daylight Time)(420),\\DESKTOP-69VA935\Process(RansomDetectorService)\% Processor Time,\\DESKTOP-69VA935\Process(RansomDetectorService)\Working Set
06/16/2025 23:14:06.972, ,24735744
06/16/2025 23:14:11.956,44.51387885,24616960
06/16/2025 23:14:16.957,44.68620946,24219648
06/16/2025 23:14:21.972,49.84491055,24842240
06/16/2025 23:14:26.956,49.21873799,25133056
06/16/2025 23:14:31.956,42.49899532,25415680
06/16/2025 23:14:36.972,45.48554042,25006080
06/16/2025 23:14:41.956,43.88619642,25071616
06/16/2025 23:14:46.972,46.73092482,24813568
06/16/2025 23:14:51.956,36.98922643,24743936
06/16/2025 23:14:56.956,38.43557207,25739264
06/16/2025 23:15:01.972,33.95725628,25681920
06/16/2025 23:15:06.956,33.85726252,25108480
06/16/2025 23:15:12.249,13.53238622,25714688
06/16/2025 23:15:16.962,18.63675205,25866240
06/16/2025 23:15:21.977,32.09410871,25903104
06/16/2025 23:15:26.961,38.87003221,26099712
06/16/2025 23:15:31.977,40.81141639,26349568
06/16/2025 23:15:36.961,45.7664467,26701824
06/16/2025 23:15:41.977,49.22287866,26714112
06/16/2025 23:15:46.962,32.28623389,26714112
06/16/2025 23:15:51.977,33.02400335,26718208
06/16/2025 23:15:56.961,34.48252202,26718208
06/16/2025 23:16:01.962,40.62339294,26714112
06/16/2025 23:16:06.977,42.67948682,26710016
06/16/2025 23:16:11.961,40.75316872,26714112
06/16/2025 23:16:16.961,31.87469974,26710016
06/16/2025 23:16:21.962,37.81068736,26710016
06/16/2025 23:16:27.024,43.21265581,26710016
06/16/2025 23:16:31.962,36.07398183,26710016
06/16/2025 23:16:36.962,39.99933441,26714112
06/16/2025 23:16:41.962,33.12426464,26714112
06/16/2025 23:16:46.977,39.56615298,26705920
06/16/2025 23:16:51.977,45.62499544,26705920
06/16/2025 23:16:56.962,37.61701827,26705920
06/16/2025 23:17:02.024,35.15096433,26779648
06/16/2025 23:17:06.961,41.93854371,26779648
06/16/2025 23:17:11.961,37.49942851,26779648
06/16/2025 23:17:16.962,38.74761082,26779648
06/16/2025 23:17:21.977,34.89347302,26779648
06/16/2025 23:17:26.961,34.79533003,26779648
06/16/2025 23:17:31.977,38.31864629,26783744
06/16/2025 23:17:36.961,43.25986523,26783744
06/16/2025 23:17:41.977,38.00621159,26779648
06/16/2025 23:17:46.962,31.97402099,26779648
06/16/2025 23:17:51.977,38.00704362,26779648
06/16/2025 23:17:56.961,37.61859563,26779648
06/16/2025 23:18:01.962,39.99650191,26779648
06/16/2025 23:18:06.977,35.2044512,26779648
06/16/2025 23:18:11.962,32.91395595,26779648
06/16/2025 23:18:16.962,36.24989415,26779648
06/16/2025 23:18:21.977,36.44965042,26779648
06/16/2025 23:18:26.961,33.85645689,26779648
06/16/2025 23:18:31.962,34.99881424,26779648
06/16/2025 23:18:36.977,39.25327011,26779648
06/16/2025 23:18:41.962,27.89944527,26779648
06/16/2025 23:18:46.962,0,26779648
06/16/2025 23:18:51.962,0,26779648
06/16/2025 23:18:56.977,0,26779648
06/16/2025 23:19:01.961,0,26779648
06/16/2025 23:19:06.962,0,26832896
06/16/2025 23:19:11.977,0,26832896
06/16/2025 23:19:16.962,0,26836992
06/16/2025 23:19:21.977,0,26836992
06/16/2025 23:19:26.962,1.880755375,26836992
06/16/2025 23:19:31.962,0,26836992
06/16/2025 23:19:36.962,0,26836992
06/16/2025 23:19:41.977,0,26836992
06/16/2025 23:19:46.962,0,26836992
06/16/2025 23:19:51.977,0,26836992
06/16/2025 23:19:56.962,2.507893092,26836992
06/16/2025 23:20:01.977,0,26836992
06/16/2025 23:20:06.962,0,26836992
06/16/2025 23:20:11.977,0,26836992
06/16/2025 23:20:16.962,0,26537984
06/16/2025 23:20:21.977,0,26525696
06/16/2025 23:20:26.962,0,26537984
06/16/2025 23:20:31.962,0,26537984
06/16/2025 23:20:36.977,0,26537984
06/16/2025 23:20:41.961,1.253904558,26750976
06/16/2025 23:20:46.962,0,26750976
06/16/2025 23:20:51.962,0,26750976
06/16/2025 23:20:56.977,0.934639927,26750976
06/16/2025 23:21:01.962,0,26750976
06/16/2025 23:21:06.977,0,26750976
06/16/2025 23:21:11.977,0,26750976
06/16/2025 23:21:16.962,0,26750976
06/16/2025 23:21:21.977,0,26750976
06/16/2025 23:21:26.962,0,26750976
06/16/2025 23:21:31.962,0,26750976
06/16/2025 23:21:36.977,0,26750976
06/16/2025 23:21:41.962,0,26750976
06/16/2025 23:21:46.977,0,26750976
06/16/2025 23:21:51.962,0,26750976
06/16/2025 23:21:56.977,0,26693632
06/16/2025 23:22:01.962,0,26693632
06/16/2025 23:22:06.977,0,26693632
06/16/2025 23:22:11.961,0,26693632
06/16/2025 23:22:16.962,0,26693632
06/16/2025 23:22:21.977,0,26693632
06/16/2025 23:22:26.961,0,26693632
06/16/2025 23:22:31.962,0,26693632
06/16/2025 23:22:36.962,0,26693632
06/16/2025 23:22:41.977,0,26693632
06/16/2025 23:22:46.962,0,26693632
06/16/2025 23:22:51.962,0,26693632
06/16/2025 23:22:56.962,0,26693632
06/16/2025 23:23:01.962,0,26693632
06/16/2025 23:23:06.978,0,26693632
06/16/2025 23:23:11.977,0,26693632
06/16/2025 23:23:16.961,0,26693632
06/16/2025 23:23:21.962,0,26693632
06/16/2025 23:23:26.977,0,26693632
06/16/2025 23:23:31.962,0,26693632
06/16/2025 23:23:36.977,0,26693632
06/16/2025 23:23:41.961,0,26693632
06/16/2025 23:23:46.962,0,26693632
06/16/2025 23:23:51.977,0,26693632
06/16/2025 23:23:56.977,0,26693632
06/16/2025 23:24:01.962,0,26693632
06/16/2025 23:24:06.962,0,26718208
06/16/2025 23:24:11.977,0,26718208
06/16/2025 23:24:16.962,0,26718208
06/16/2025 23:24:21.977,0,26718208
06/16/2025 23:24:26.961,0,26718208
06/16/2025 23:24:31.962,0,26718208
06/16/2025 23:24:36.978,0,26718208
06/16/2025 23:24:41.977,0,26718208
06/16/2025 23:24:46.962,0,26718208
06/16/2025 23:24:51.977,0,26718208
06/16/2025 23:24:56.962,0,26718208
06/16/2025 23:25:01.977,0,26718208
06/16/2025 23:25:06.962,0,26718208
06/16/2025 23:25:11.977,0,26718208
06/16/2025 23:25:16.965,0,26693632
06/16/2025 23:25:21.950,0,26693632
06/16/2025 23:25:26.965,0,26693632
06/16/2025 23:25:31.950,0,26693632
06/16/2025 23:25:36.965,0,26693632
06/16/2025 23:25:41.950,0,26693632
06/16/2025 23:25:46.965,0,26693632
06/16/2025 23:25:51.950,1.253853292,26697728
06/16/2025 23:25:56.950,0,26697728
06/16/2025 23:26:01.950,0,26697728
06/16/2025 23:26:06.965,0,26697728
06/16/2025 23:26:11.950,0,26697728
06/16/2025 23:26:16.966,0,26697728
06/16/2025 23:26:21.966,0,26697728
06/16/2025 23:26:26.950,0,26697728
06/16/2025 23:26:31.965,0,26697728
06/16/2025 23:26:36.965,0,26697728
06/16/2025 23:26:41.950,0,26697728
06/16/2025 23:26:46.965,0,26697728
